pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,1479.87
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,1529.55
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,1546.29
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,1535.42
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,1536.93
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,1527.27
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,1515.87
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,1465.75
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,1521.14
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,1535.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,1533.72
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,1540.12
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,1521.97
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,1522.58
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,1472.96
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,1529.33
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,1540.08
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,1534.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,1543.02
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,1522.73
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,1500.15
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,1447.6
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,1502.32
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,1516.67
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,1511.53
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,1490.53
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,1470.22
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,1472.99
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,1346.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,1358.49
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,1352.48
